State_A,State_B,Driving_Distance_m,Driving_Time_s,Flight_Distance_m,Flight_Time_s
Alaska,Pennsylvania,6226701.9,299422.0,4471842.188509801,18939.566916041513
Alaska,Rhode Island,6723503.1,321472.7,4666958.887223503,19765.943522358364
Alaska,South Carolina,6430202.0,309774.0,4756564.880931224,20145.451260414593
Alaska,South Dakota,4215055.3,217149.1,2795887.503115235,11841.405895546877
Alaska,Tennessee,5889631.0,285655.3,4229247.781852047,17912.10825254985
Alaska,Texas,6018555.9,285875.1,4196852.401743937,17774.904289739028
Alaska,Utah,4213810.3,210955.5,2518662.332779011,10667.275762358164
Alaska,Vermont,6337795.6,321106.0,4408081.644486155,18669.52225900019
Alaska,Virginia,6404918.0,308812.5,4667493.962423599,19768.209723205833
Alaska,Washington,3155660.0,179042.9,1486146.9665501027,6294.26950538867
Alaska,West Virginia,5952847.8,289126.7,4347012.428494467,18410.876167741273
Alaska,Wisconsin,4941866.8,246653.6,3514227.0809962894,14883.785284219579
Alaska,Wyoming,4381765.3,219981.2,2826819.9410259104,11972.413867874444
Arizona,Arkansas,2085677.4,82347.1,1825099.9316766516,7729.835004748171
Arizona,California,1213865.2,49259.7,1022240.0220512839,4329.4871522172025
Arizona,Colorado,1320709.9,55870.7,951178.029682553,4028.518713949636
Arizona,Connecticut,4075768.8,166253.6,3555783.155984119,15059.787484168035
Arizona,Delaware,3780109.1,155493.7,3313419.356934069,14033.305511720764
Arizona,Florida,3031683.8,117816.4,2624826.304120934,11116.911405688663
Arizona,Georgia,2973589.0,115521.1,2538577.2423267937,10751.62126161936
Arizona,Hawaii,,,4688535.041936183,19857.324883494424
Arizona,Idaho,1608787.7,64144.3,1184088.3033342033,5014.962225886038
Arizona,Illinois,2494964.0,100236.6,2109481.3053904455,8934.273764006593
Arizona,Indiana,2728908.7,109767.8,2390867.3735166993,10126.02652312955
Arizona,Iowa,2251779.8,92928.7,1847156.845770916,7823.252523265055
Arizona,Kansas,1846684.7,76678.2,1594586.2242364117,6753.541655589508
Arizona,Kentucky,2842247.0,114378.7,2491322.3540784526,10551.482911391093
Arizona,Louisiana,2321769.2,88927.9,1990427.305109692,8430.045056935165
