indicator_id,indicator_name,unit,workbook,sheet,min_year,max_year,observations
electric-power,Total energy CO2 emissions for the electric power sector,million metric tons of CO2,按部门划分的二氧化碳排放总量.xlsx,Electric power,1960,2023,3328
electricity-expenditures,Electricity total expenditures,million dollars,向最终客户销售煤炭和电力的价格和支出.xlsx,Electricity expenditures,1970,2023,2808
electricity-prices,Electricity average price,"all sectors, dollars per million Btu",向最终客户销售煤炭和电力的价格和支出.xlsx,Electricity prices,1970,2023,2808
expenditures,Motor gasoline total expenditures,million dollars,车用汽油价格和支出.xlsx,Expenditures,1970,2023,2808
expenditures-per-capita,Motor gasoline expenditures per capita,dollars,车用汽油价格和支出.xlsx,Expenditures per capita,1970,2023,2808
fuel-ethanol,Fuel ethanol production (including denaturant),thousand barrels,物理单元的一次能源生产——生物燃料.xlsx,Fuel ethanol,1960,2023,3328
gdp-energy-consumption-per-real-gdp,Total energy consumption per dollar of real gross domestic product,thousand Btu per chained (2017) dollar,总能耗、实际GDP和能源强度.xlsx,Energy consumption per real GDP,1997,2023,1404
gdp-expenditures,Total energy expenditures,million dollars,能源总价格和支出（总额、人均和每 GDP）.xlsx,Expenditures,1970,2023,2808
gdp-expenditures-per-capita,Total energy expenditures per capita,dollars,能源总价格和支出（总额、人均和每 GDP）.xlsx,Expenditures per capita,1970,2023,2808
gdp-expenditures-per-gdp,Energy expenditures as percent of current-dollar gross domestic product (GDP),percent,能源总价格和支出（总额、人均和每 GDP）.xlsx,Expenditures per GDP,1997,2023,1404
gdp-prices,Total energy average price,dollars per million Btu,能源总价格和支出（总额、人均和每 GDP）.xlsx,Prices,1970,2023,2808
gdp-real-gdp,Real gross domestic product (GDP),million chained (2017) dollars,总能耗、实际GDP和能源强度.xlsx,Real GDP,1997,2023,1404
gdp-total-consumption,Total energy consumption,billion Btu,总能耗、实际GDP和能源强度.xlsx,Total consumption,1960,2023,3328
geothermal,Geothermal total consumption,billion Btu,按来源划分的可再生能源消费.xlsx,Geothermal,1960,2023,3328
hdd,Heating degree days,days,能源系列指标.xlsx,HDD,1960,2023,3328
hydropower,Hydropower total consumption,billion Btu,按来源划分的可再生能源消费.xlsx,Hydropower,1960,2023,3328
industrial,Total energy CO2 emissions for the industrial sector,million metric tons of CO2,按部门划分的二氧化碳排放总量.xlsx,Industrial,1960,2023,3328
industrial-sector,Total energy consumption in the industrial sector,billion Btu,按最终用途部门划分的总能源消耗.xlsx,Industrial sector,1960,2023,3328
industrial-sector,Total energy consumption per capita in the industrial sector,million Btu,按最终用途部门分列的人均能源消耗总量.xlsx,Industrial sector,1960,2023,3328
industrial-sector,Total energy expenditures in the industrial sector,million dollars,按最终用途部门分列的能源总支出.xlsx,Industrial sector,1970,2023,2808
industrial-sector,Total energy average price in the industrial sector,dollars per million Btu,按最终用途部门划分的能源总价格.xlsx,Industrial sector,1970,2023,2808
natural-gas,Natural gas,"excluding supplemental gaseous fuels, total CO2 emissions, million metric tons CO2",按来源划分的二氧化碳排放总量.xlsx,Natural gas,1960,2023,3328
natural-gas,Natural gas marketed production,million cubic feet,以物理单位计算的一次能源生产——化石燃料和核能.xlsx,Natural gas,1960,2023,3392
natural-gas,Natural gas total consumption (excluding supplemental gaseous fuels),billion Btu,按来源划分的一次能源消耗.xlsx,Natural gas,1960,2023,3328
natural-gas-expenditures,Natural gas total expenditures,million dollars,石油和天然气价格和支出.xlsx,Natural gas expenditures,1970,2023,2808
natural-gas-prices,Natural gas average price,"all sectors, dollars per million Btu",石油和天然气价格和支出.xlsx,Natural gas prices,1970,2023,2808
nuclear,Nuclear energy consumed for electricity generation,"total, billion Btu",按来源划分的一次能源消耗.xlsx,Nuclear,1960,2023,3328
nuclear-electric-power,Nuclear electricity net generation in the electric power sector,million kilowatthours,以物理单位计算的一次能源生产——化石燃料和核能.xlsx,Nuclear electric power,1960,2023,3328
other-biofuels,Other biofuels production,"United States, thousand barrels",物理单元的一次能源生产——生物燃料.xlsx,Other biofuels,1960,2023,64
petroleum,All petroleum products total consumption,"excluding biofuels, billion Btu",按来源划分的一次能源消耗.xlsx,Petroleum,1960,2023,3328
