region,barrels,barrels-per-capita,biodiesel,biomass,btu,btu-biofuels,btu-coal,btu-crude-oil,btu-natural-gas,btu-nuclear-electric-power,btu-other-renewables,btu-per-capita,btu-total-primary-energy,btu-total-renewables,btu-wood-and-waste,cdd,co2-co2-co2-per-billion-btu,co2-co2-co2-per-million-dollars,co2-co2-per-capita,co2-co2-total-co2,coal,coal-expenditures,coal-prices,commercial,commercial-sector,crude-oil,cubic-feet,cubic-feet-per-capita,current-dollar-gdp,electric-power,electricity-expenditures,electricity-prices,expenditures,expenditures-per-capita,fuel-ethanol,gdp-energy-consumption-per-real-gdp,gdp-expenditures,gdp-expenditures-per-capita,gdp-expenditures-per-gdp,gdp-prices,gdp-real-gdp,gdp-total-consumption,geothermal,hdd,hydropower,industrial,industrial-sector,natural-gas,natural-gas-expenditures,natural-gas-prices,nuclear,nuclear-electric-power,petroleum,petroleum-expenditures,petroleum-prices,prices,real-gdp,renewable-diesel,residential,residential-per-capita,residential-sector,solar-energy,total,total-consumption,total-per-capita,total-population,total-renewable-energy,transportation,transportation-sector,wind-energy
MD,86666.0,13.9,0.0,37140.0,379146.5,0.0,30335.0,0.0,3.0,156610.0,16571.0,60.95,217026.0,30078.0,13507.0,1105.0,49.9,115.0,7.8,48.6,10541.966666666667,106.0,3.49,5.0,85835.0875,0.0,293432.0,47.2,515607.3,8.3,8179.1,42.03,8621.5,1386.7,0.0,2.8,23652.7,3804.5,4.59,28.85,422866.3,1182581.0,570.0,3827.0,6309.0,2.5,21140.8025,101562.7,2688.5,9.71,156610.0,14984.0,214906.85,13029.8,28.74,29.24,422866.3,0.0,13056.65,4199.0,86970.4725,8049.0,16162.35,591385.6,9174.0,6217.0,53711.0,27.5,107686.80249999999,1643.0
ME,35171.0,25.1,12.0,64238.0,122432.0,65.0,0.0,0.0,0.0,0.0,25206.0,87.45,82781.0,82781.0,57510.0,289.0,46.5,207.5,11.1,15.6,431.7,7.0,5.4,1.8,14529.117499999998,0.0,58584.0,41.9,93270.0,1.6,2362.3,61.08,2513.4,1795.7,0.0,4.37,8144.0,5818.6,8.73,28.75,75195.4,328596.0,72.0,6926.0,13074.0,1.4,18917.855000000003,20349.399999999998,583.6,9.94,0.0,0.0,88551.65,5271.3,28.68,29.6,75195.4,0.0,2460.9,3514.0,20424.77,4080.0,3907.9900000000002,164415.4,8099.0,1400.0,89444.0,7.9,30400.3475,7980.0
MI,163460.0,16.2,340.0,154360.0,978062.5,46680.0,0.0,27501.0,72824.0,292615.0,44098.0,97.0,580412.0,187472.0,96694.0,532.0,52.3,254.6,14.0,141.1,95839.13333333335,978.8,3.4,10.6,135407.6925,4834.0,1048447.0,104.0,673818.1,47.5,13315.2,40.17,14084.1,1396.8,7893.0,4.59,41957.0,4161.0,6.23,22.37,554256.2,2543241.0,5193.0,5867.0,4760.0,17.9,161202.4725,390808.0,7381.8,6.89,292615.0,27996.0,405422.35,21904.8,26.21,27.36,554256.2,0.0,16276.1,3226.0,169175.0925,5851.0,27970.114,1271746.6,9678.0,10083.0,198459.0,47.0,180599.34000000003,28294.0
MN,115427.0,20.1,1796.0,162640.0,572720.0,192204.0,0.0,0.0,0.0,124626.0,61224.0,99.55000000000001,428651.0,304025.0,50598.0,582.0,49.8,206.8,14.0,80.8,49660.76666666666,367.2,2.46,7.1,79090.1825,0.0,506256.0,88.0,483162.1,18.4,7959.5,35.99,8270.2,1437.5,32119.0,4.32,27117.2,4713.5,5.61,22.18,390907.9,1689356.0,1075.0,7809.0,2560.0,16.6,140022.0725,178939.03333333333,4048.5,8.04,124626.0,11924.0,283555.25,15470.5,27.57,28.58,390907.9,0.0,11516.15,4002.0,93299.1125,8462.0,18703.396,844824.8,11510.0,5753.0,223864.0,29.4,116801.8,49127.0
MO,123112.0,19.8,5198.0,61275.0,480106.0,66466.0,3087.0,358.0,0.0,95947.0,29138.0,77.35,210003.0,110610.0,15007.0,1353.0,65.1,291.3,16.4,101.5,147694.46666666667,878.1,1.98,4.3,93338.525,63.0,310002.0,49.9,430114.4,45.6,8370.2,31.87,10369.7,1670.4,6729.0,4.83,28438.9,4581.0,6.61,24.7,348487.4,1681954.0,352.0,4280.0,2679.0,8.3,73896.13,105509.53333333333,3281.5,10.5,95947.0,9180.0,306333.75,16972.0,26.37,26.72,348487.4,0.0,17485.55,5632.0,118841.75499999999,2989.0,21128.52,841112.45,12399.0,6208.0,90412.0,37.2,141613.175,23117.0
MS,73596.0,25.0,563.0,64093.0,512767.0,5506.0,27466.0,71539.0,27937.0,122807.0,3211.0,174.25,313726.0,63977.0,55260.0,2569.0,51.1,533.6,21.7,63.8,17431.933333333334,199.4,4.02,1.5,37953.865,12575.0,613542.0,208.5,151146.7,26.5,5233.1,32.33,5188.2,1762.8,0.0,8.99,15779.3,5361.3,10.44,22.44,119548.4,1074319.0,958.0,1843.0,0.0,10.9,96626.8525,219113.69999999998,2209.2,3.99,122807.0,11750.0,189049.0,9321.4,26.12,25.71,119548.4,446.0,9272.7,6301.0,46835.8675,2253.0,12870.268,537342.0,16452.0,2943.0,67305.0,23.5,91223.6025,0.0
MT,32828.0,29.0,0.0,11496.0,137081.5,18015.0,520661.0,128822.0,45261.0,0.0,46974.0,121.15,767125.0,72382.0,7393.0,235.0,64.4,512.4,26.0,29.4,53047.833333333336,314.7,2.42,1.8,18099.1725,22644.0,91732.0,81.1,73254.5,13.5,1622.9,32.77,2017.4,1783.2,0.0,6.66,6554.8,5794.0,8.95,24.05,57373.3,382218.0,337.0,8204.0,29999.0,4.4,29246.342500000002,45984.700000000004,643.6,8.0,0.0,0.0,86647.45,4295.6,27.82,31.25,57373.3,3279.0,2878.9,5088.0,20316.18,1089.0,4428.530000000001,191277.95,13705.0,1131.0,58470.0,7.9,29637.7575,15548.0
NC,181235.0,16.7,40.0,127660.0,804119.0,216.0,0.0,0.0,0.0,442493.0,59144.0,73.9,614879.0,172386.0,113026.0,1381.0,47.5,174.7,10.2,111.4,51266.23333333334,735.0,4.78,4.9,131642.8025,0.0,641802.0,59.0,788103.2,36.1,14124.7,31.1,16235.1,1492.0,0.0,3.88,42632.6,3918.0,5.41,24.97,638067.3,2472784.0,967.0,2826.0,14417.0,9.4,124990.94,220778.93333333335,4723.1,7.17,442493.0,42336.0,450151.45,25760.9,27.23,27.5,638067.3,0.0,29371.45,5398.0,158637.6325,41955.0,35194.274,1236505.65,12231.0,10881.0,186804.0,56.1,213663.6025,1805.0
ND,32213.0,40.8,1792.0,34539.0,199652.5,102205.0,320145.0,2456032.0,1555143.0,0.0,57615.0,253.05,4491856.0,160536.0,716.0,565.0,67.2,899.6,68.8,54.3,116611.40000000001,595.9,1.83,1.3,29071.215,431716.0,212539.0,269.4,76043.3,26.1,2247.0,23.54,1471.8,1865.3,12978.0,11.66,7314.5,9270.1,9.62,18.15,60348.6,703926.0,978.0,8957.0,7230.0,16.8,97482.55249999999,448688.1333333333,487.5,4.75,0.0,0.0,84659.35,4576.2,27.57,29.23,60348.6,3413.0,2534.1,6422.0,16236.490000000002,12.0,7128.65,352409.05,35742.0,789.0,92154.0,8.9,35262.88,49395.0
NE,45531.0,22.9,0.0,118507.0,225095.5,268796.0,0.0,9358.0,280.0,72391.0,45995.0,113.25,401345.0,319316.0,4525.0,1140.0,52.3,314.6,22.9,45.6,65206.9,260.8,1.33,2.2,34756.455,1645.0,195962.0,98.6,181285.0,18.4,3069.6,26.8,3056.5,1537.6,47321.0,5.79,11410.1,5739.9,6.29,20.47,145019.6,840136.0,1212.0,5798.0,3900.0,9.0,92213.96,68850.56666666667,1534.7,7.62,72391.0,6926.0,116807.6,6837.0,28.08,28.29,145019.6,0.0,5336.7,5368.0,34845.1275,468.0,9018.554,420279.3,16888.0,1988.0,164502.0,13.6,51197.31,40416.0
