,weight
能源消费类,0.11082482161356211
能源价格类,0.005872845039359154
碳排放类,0.04289741723435008
经济人口类,0.1059596335822687
气候环境类,0.04461414470712737
城市水资源类,0.006569587204306795
航空出行类,0.11072994484222773
废弃物管理类,0.09155338266099161
可再生能源类,0.11237912294855316
比赛因素类,0.15723347000430474
比赛间交通时间类,0.21136563016294854
