region,score
CA,100.0
TX,67.8681366523388
NY,53.753973522036304
FL,43.74777208338116
IL,27.81967259649948
PA,25.830417520989634
OH,23.07768124928872
GA,21.76920067476973
NC,20.722401910973453
NJ,20.385439958579433
WA,19.718414743393314
VA,18.359007560406276
MI,18.140071123384256
MA,17.782117429201563
AZ,13.476827092754093
TN,13.283483115401529
CO,12.83997961583378
MD,12.702113737385885
IN,12.682423499087554
MN,11.698228132406985
MO,10.925471362141376
WI,10.688505090877973
SC,8.369106065353598
CT,7.864887161311978
AL,7.787624679419092
OR,7.643424481630601
LA,7.597345729210003
KY,6.94965984297837
UT,6.329308166557633
OK,6.244971311619403
IA,5.637639040329162
NV,5.47426451497713
KS,5.015207902495625
AR,4.091583684794645
NE,3.5121217371174662
MS,3.4582759994115913
DC,2.7356216160188183
NM,2.7209794659450894
ID,2.3065582734439314
NH,1.8888163509464848
WV,1.8197334443112438
HI,1.807671378123226
ME,1.4536419582559144
DE,1.318289225169429
RI,0.9827982918648982
MT,0.8750105521869957
SD,0.7540512260084495
ND,0.7416541946781781
AK,0.5564132474212148
WY,0.13671899522656059
VT,0.037428614814909
